simTime,id_1,rssi_1,id_2,rssi_2,id_3,rssi_3,id_4,rssi_4,id_5,rssi_5,id_6,rssi_6,id_7,rssi_7,id_8,rssi_8,id_9,rssi_9,id_10,rssi_10
2.0,1.0,47.251113,2.0,69.515355,3.0,54.802238,4.0,41.276861,5.0,88.867822,6.0,23.271666,7.0,49.988066,8.0,46.054077,9.0,45.566939,10.0,53.206261
2.2,1.0,48.499559,2.0,65.616004,3.0,41.681981,4.0,59.59845,5.0,43.131313,6.0,36.125579,7.0,58.918734,8.0,38.783222,9.0,48.946203,10.0,61.14187
2.4,1.0,30.868645,2.0,44.652796,3.0,25.703379,4.0,40.720858,5.0,29.653686,6.0,19.660858,7.0,32.875722,8.0,25.64025,9.0,30.593071,10.0,37.158084
2.6,1.0,27.206739,2.0,41.322482,3.0,23.343763,4.0,33.017591,5.0,28.001796,6.0,13.666663,7.0,28.836174,8.0,23.563452,9.0,26.998515,10.0,32.938329
2.8,1.0,27.84059,2.0,42.213748,3.0,24.773031,4.0,31.2024,5.0,30.240631,6.0,12.297397,7.0,29.020373,8.0,24.973167,9.0,27.264922,10.0,33.192442
3.0,1.0,39.689737,2.0,68.492481,3.0,59.357124,4.0,43.819029,5.0,88.184009,6.0,26.636982,7.0,49.612347,8.0,47.386437,9.0,45.701065,10.0,53.213224
3.2,1.0,41.861987,2.0,67.745065,3.0,47.254358,4.0,61.564505,5.0,42.347806,6.0,39.874302,7.0,59.95844,8.0,40.356684,9.0,48.275193,10.0,61.575704
3.4,1.0,24.649257,2.0,45.700852,3.0,31.184554,4.0,43.88552,5.0,28.87576,6.0,22.661387,7.0,32.584502,8.0,27.186536,9.0,30.149036,10.0,37.672313
3.6,1.0,20.870031,2.0,42.174715,3.0,28.785138,4.0,35.993018,5.0,27.229103,6.0,16.710836,7.0,28.468778,8.0,25.086766,9.0,26.652981,10.0,33.396693
3.8,1.0,21.408028,2.0,42.920221,3.0,30.169799,4.0,34.082449,5.0,29.467941,6.0,15.389702,7.0,28.622767,8.0,26.471231,9.0,26.995433,10.0,33.611984
4.0,1.0,39.491473,2.0,55.815192,3.0,56.382774,4.0,41.180353,5.0,87.062883,6.0,25.687368,7.0,44.985284,8.0,45.195795,9.0,41.394554,10.0,52.099111
4.2,1.0,42.471008,2.0,58.156237,3.0,45.230934,4.0,58.377387,5.0,41.685313,6.0,39.325289,7.0,56.943891,8.0,38.404162,9.0,43.142704,10.0,60.859059
4.4,1.0,25.75528,2.0,34.932685,3.0,29.083474,4.0,41.86034,5.0,28.220778,6.0,21.330396,7.0,28.112085,8.0,25.209341,9.0,25.272283,10.0,37.062258
4.6,1.0,21.852538,2.0,31.203964,3.0,26.645767,4.0,33.776807,5.0,26.57934,6.0,15.427575,7.0,23.917421,8.0,23.086957,9.0,21.87493,10.0,32.729624
4.8,1.0,22.289043,2.0,31.801262,3.0,27.987026,4.0,31.771298,5.0,28.81805,6.0,14.156403,7.0,24.038906,8.0,24.44646,9.0,22.293503,10.0,32.905298
5.0,1.0,43.437569,2.0,55.834015,3.0,57.676037,4.0,40.598162,5.0,88.014721,6.0,20.450862,7.0,44.190289,8.0,51.299341,9.0,42.128177,10.0,51.195295
5.2,1.0,47.114274,2.0,61.235602,3.0,47.413073,4.0,57.273989,5.0,43.554778,6.0,34.506291,7.0,57.965242,8.0,44.742656,9.0,43.037673,10.0,60.322838
5.4,1.0,30.972465,2.0,36.726302,3.0,31.20152,4.0,41.882647,5.0,30.099619,6.0,15.695314,7.0,27.547847,8.0,31.525666,9.0,25.447114,10.0,36.659326
5.6,1.0,26.939569,2.0,32.788318,3.0,28.727002,4.0,33.606544,5.0,28.463385,6.0,9.844323,7.0,23.271339,8.0,29.381023,9.0,22.148504,10.0,32.268497
5.8,1.0,27.268697,2.0,33.235302,3.0,30.026028,4.0,31.50663,5.0,30.701838,6.0,8.624964,7.0,23.357843,8.0,30.715853,9.0,22.643172,10.0,32.403748
6.0,1.0,41.131942,2.0,52.122944,3.0,55.884928,4.0,38.370203,5.0,87.290651,6.0,21.425277,7.0,41.228824,8.0,49.771192,9.0,46.511319,10.0,51.245397
6.2,1.0,45.403146,2.0,60.582774,3.0,46.452916,4.0,54.551177,5.0,44.059166,6.0,35.914242,7.0,57.009842,8.0,43.44611,9.0,46.57778,10.0,60.710427
6.4,1.0,29.908813,2.0,34.676569,3.0,30.190762,4.0,40.250145,5.0,30.615179,6.0,16.253319,7.0,24.897881,8.0,30.209454,9.0,29.286774,10.0,37.207186
6.6,1.0,25.738641,2.0,30.522773,3.0,27.680884,4.0,31.780219,5.0,28.984134,6.0,10.45826,7.0,20.536475,8.0,28.04291,9.0,26.086791,10.0,32.75695
6.8,1.0,25.954263,2.0,30.817695,3.0,28.938818,4.0,29.586529,5.0,31.222207,6.0,9.292587,7.0,20.585322,8.0,29.353351,9.0,26.657426,10.0,32.850962
